year,county,facilityType,vmt,laneMiles,minElast,maxElast
2017,MONTGOMERY,Urban Primary Arterial - Other,0,750.78302,0.7,1
2017,MONTGOMERY,Urban Minor Arterial,0,590.80103,0.5,0.7
2017,MONTGOMERY,Urban Collector (Major and Minor),698,639.47302,0.5,0.7
2017,MONTGOMERY,Urban Local,494,4095.019,0.3,0.5
2017,PRINCE GEORGE'S,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2017,PRINCE GEORGE'S,Rural Primary Arterial - Other,41,10.564,0.7,1
2017,PRINCE GEORGE'S,Rural Minor Arterial,31,11.175,0.5,0.7
2017,PRINCE GEORGE'S,Rural Collector (Major and Minor),85,119.764,0.5,0.7
2017,PRINCE GEORGE'S,Rural Local,29,227.14,0.3,0.5
2017,PRINCE GEORGE'S,Urban Interstate/Freeway/Expressway,0,584.14801,0.7,1
2017,PRINCE GEORGE'S,Urban Primary Arterial - Other,0,600.59302,0.7,1
2017,PRINCE GEORGE'S,Urban Minor Arterial,0,513.23401,0.5,0.7
2017,PRINCE GEORGE'S,Urban Collector (Major and Minor),814,645.45398,0.5,0.7
2017,PRINCE GEORGE'S,Urban Local,600,3918.1819,0.3,0.5
2017,QUEEN ANNE'S,Rural Interstate/Freeway/Expressway,200,116.108,0.7,1
2017,QUEEN ANNE'S,Rural Primary Arterial - Other,115,33.720001,0.7,1
2017,QUEEN ANNE'S,Rural Minor Arterial,83,71.366997,0.5,0.7
2017,QUEEN ANNE'S,Rural Collector (Major and Minor),122,325.17899,0.5,0.7
2017,QUEEN ANNE'S,Rural Local,101,877.45398,0.3,0.5
2017,QUEEN ANNE'S,Urban Interstate/Freeway/Expressway,290,62.661999,0.7,1
2017,QUEEN ANNE'S,Urban Primary Arterial - Other,0,0,0.7,1
2017,QUEEN ANNE'S,Urban Minor Arterial,15,14.539,0.5,0.7
2017,QUEEN ANNE'S,Urban Collector (Major and Minor),15,27.982,0.5,0.7
2017,QUEEN ANNE'S,Urban Local,22,162.21201,0.3,0.5
2017,ST. MARY'S,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2017,ST. MARY'S,Rural Primary Arterial - Other,196,67.316002,0.7,1
2017,ST. MARY'S,Rural Minor Arterial,180,97.452003,0.5,0.7
2017,ST. MARY'S,Rural Collector (Major and Minor),157,271.97198,0.5,0.7
2017,ST. MARY'S,Rural Local,101,944.00702,0.3,0.5
2017,ST. MARY'S,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2017,ST. MARY'S,Urban Primary Arterial - Other,171,60.620998,0.7,1
2017,ST. MARY'S,Urban Minor Arterial,73,33.414001,0.5,0.7
2017,ST. MARY'S,Urban Collector (Major and Minor),58,55.299999,0.5,0.7
2017,ST. MARY'S,Urban Local,21,251.905,0.3,0.5
2017,SOMERSET,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2017,SOMERSET,Rural Primary Arterial - Other,93,53,0.7,1
2017,SOMERSET,Rural Minor Arterial,30,26.360001,0.5,0.7
2017,SOMERSET,Rural Collector (Major and Minor),47,245.438,0.5,0.7
2017,SOMERSET,Rural Local,33,571.56201,0.3,0.5
2017,SOMERSET,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2017,SOMERSET,Urban Primary Arterial - Other,58,28.120001,0.7,1
2017,SOMERSET,Urban Minor Arterial,0,0.02,0.5,0.7
2017,SOMERSET,Urban Collector (Major and Minor),15,25.691999,0.5,0.7
2017,SOMERSET,Urban Local,5,54.223999,0.3,0.5
2017,TALBOT,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2017,TALBOT,Rural Primary Arterial - Other,225,87.550003,0.7,1
2017,TALBOT,Rural Minor Arterial,94,50.594002,0.5,0.7
2017,TALBOT,Rural Collector (Major and Minor),60,188.026,0.5,0.7
2017,TALBOT,Rural Local,77,657.04999,0.3,0.5
2017,TALBOT,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2017,TALBOT,Urban Primary Arterial - Other,133,47.008999,0.7,1
2017,TALBOT,Urban Minor Arterial,22,15.826,0.5,0.7
2017,TALBOT,Urban Collector (Major and Minor),29,29.323999,0.5,0.7
2017,TALBOT,Urban Local,13,176.832,0.3,0.5
2017,WASHINGTON,Rural Interstate/Freeway/Expressway,479,149.41901,0.7,1
2017,WASHINGTON,Rural Primary Arterial - Other,26,9.7790003,0.7,1
